id,buildingSubtype,buildingType,isNewConstruction,price,rawPrice,reducedPrice,country,regionLevel1,regionLevel2,province,municipality,district,neighborhood,zipCode,latitude,longitude,accuracy,bathrooms,conservationState,floor,air_conditioner,heating,elevator,balcony,rooms,surface,heater,terrace,parking,swimming_pool
163000202,Flat,Flat,False,630.000 €,630000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40324,-3.677905,0,1.0,,6.0,,,,,3.0,172.0,,,,
162999435,Flat,Flat,False,2.500.000 €,2500000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41342,-3.688299,0,3.0,,7.0,,,,,4.0,255.0,,,,
162704494,Attic,Flat,False,820.000 €,820000,50.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.4161,-3.664172,0,2.0,2.0,19.0,1.0,,1.0,,4.0,173.0,1.0,1.0,,1.0
162998180,Flat,Flat,False,550.000 €,550000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.39812,-3.672641,1,2.0,2.0,,1.0,,1.0,,3.0,104.0,1.0,1.0,,1.0
160546513,Flat,Flat,False,990.000 €,990000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Ibiza de Madrid,28009,40.41825,-3.674207,0,2.0,3.0,8.0,,,1.0,1.0,4.0,205.0,1.0,,,
162138267,Flat,Flat,False,1.550.000 €,1550000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41762,-3.690356,0,4.0,4.0,6.0,1.0,,1.0,1.0,3.0,194.0,,,,
162804095,Flat,Flat,False,595.000 €,595000,55.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40369,-3.680964,0,3.0,,6.0,1.0,,1.0,1.0,4.0,195.0,,1.0,,
162200084,Flat,Flat,False,170.000 €,170000,5.000 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40253,-3.676727,0,1.0,,7.0,,,1.0,,2.0,44.0,1.0,,,
162988714,Flat,Flat,False,569.000 €,569000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40347,-3.676164,0,1.0,3.0,9.0,1.0,1.0,1.0,,4.0,140.0,,1.0,,
160873870,Flat,Flat,False,430.500 €,430500,25.990 €,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Pacífico,28007,40.40531,-3.674284,0,2.0,2.0,11.0,,,1.0,,2.0,87.0,,,,
162986207,Flat,Flat,False,265.000 €,265000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Adelfas,28007,40.40054,-3.67317,1,1.0,2.0,,1.0,,,1.0,2.0,65.0,1.0,,,
162008813,Duplex,Flat,False,1.950.000 €,1950000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41824,-3.689451,0,5.0,,,1.0,,,,4.0,284.0,,,,
162498435,Flat,Flat,False,1.250.000 €,1250000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.41322,-3.692377,0,3.0,,,,,1.0,1.0,2.0,153.0,1.0,,,
160979221,Flat,Flat,False,2.350.000 €,2350000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28001,40.42249,-3.684146,0,4.0,,,,,,,3.0,209.0,,,,
162976314,Flat,Flat,False,575.000 €,575000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Jerónimos,28014,40.4071,-3.682589,0,2.0,2.0,8.0,1.0,,1.0,,4.0,144.0,1.0,1.0,,
162974940,Flat,Flat,False,920.000 €,920000,,España,Madrid,Madrid,Madrid, Madrid Capital,Retiro,Estrella,28007,40.41838,-3.66363,1,2.0,3.0,,,,1.0,1.0,5.0,166.0,1.0,,1.0,
