id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito
4164,625000,3,EXTERIOR,4,164.0,True,False,CASTILLA,56,CHAMARTIN,5
4165,3600000,5,EXTERIOR,4,395.0,True,True,HISPANOAMERICA,54,CHAMARTIN,5
4166,2000000,19,EXTERIOR,6,280.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4167,3900000,0,EXTERIOR,5,376.0,False,True,NUEVA ESPANA,55,CHAMARTIN,5
4168,1080000,0,EXTERIOR,3,132.0,True,False,EL VISO,51,CHAMARTIN,5
4169,1385000,3,EXTERIOR,4,196.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4170,570000,1,EXTERIOR,3,111.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4171,400000,5,EXTERIOR,1,64.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4172,440000,4,EXTERIOR,2,96.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4173,2300000,3,EXTERIOR,4,403.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4174,840000,4,EXTERIOR,3,180.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4175,427000,1,EXTERIOR,3,88.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4176,345000,0,EXTERIOR,2,61.0,False,False,EL VISO,51,CHAMARTIN,5
4177,1300000,8,EXTERIOR,4,200.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4178,1375000,12,EXTERIOR,3,266.0,True,True,PROSPERIDAD,52,CHAMARTIN,5
4179,3300000,0,EXTERIOR,5,430.0,False,True,NUEVA ESPANA,55,CHAMARTIN,5
4180,2500000,1,EXTERIOR,4,463.0,True,True,EL VISO,51,CHAMARTIN,5
4181,1350000,7,EXTERIOR,4,224.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4182,360000,0,EXTERIOR,1,70.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4183,495000,2,EXTERIOR,2,108.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4184,775000,13,EXTERIOR,3,128.0,True,False,HISPANOAMERICA,54,CHAMARTIN,5
4185,460000,2,EXTERIOR,2,81.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4186,3249000,4,EXTERIOR,4,465.0,True,True,EL VISO,51,CHAMARTIN,5
4187,1150000,3,EXTERIOR,4,210.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4188,2300000,0,EXTERIOR,4,333.0,False,True,NUEVA ESPANA,55,CHAMARTIN,5
4189,1250000,5,EXTERIOR,2,130.0,True,True,EL VISO,51,CHAMARTIN,5
4190,2300000,9,EXTERIOR,5,327.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4191,2450000,8,EXTERIOR,4,367.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4192,1490000,1,EXTERIOR,5,222.0,True,False,EL VISO,51,CHAMARTIN,5
4193,2100000,3,EXTERIOR,3,303.0,True,True,EL VISO,51,CHAMARTIN,5
4194,510000,0,EXTERIOR,3,134.0,True,False,PROSPERIDAD,52,CHAMARTIN,5
4195,643000,1,EXTERIOR,3,134.0,True,False,EL VISO,51,CHAMARTIN,5
4196,750000,0,EXTERIOR,3,175.0,True,True,CASTILLA,56,CHAMARTIN,5
4197,1300000,2,EXTERIOR,2,174.0,True,False,EL VISO,51,CHAMARTIN,5
4198,2450000,3,EXTERIOR,4,365.0,True,True,NUEVA ESPANA,55,CHAMARTIN,5
4199,585000,5,EXTERIOR,2,87.0,True,False,NUEVA ESPANA,55,CHAMARTIN,5
4200,640000,2,EXTERIOR,2,130.0,False,False,HISPANOAMERICA,54,CHAMARTIN,5
