id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,geometry
1509,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    MOLINA                                            ,40,440588.62,4480271.5,POINT (-3.700848288307476 40.4709991300568)
1510,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    BRAVO MURILLO                                     ,107,440168.6,4477724.5,POINT (-3.7055626238355766 40.44802458566963)
1511,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    DULCINEA                                          ,12,440648.6,4477730.5,POINT (-3.6999031801310207 40.4481130444782)
1512,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    AILANTO                                           ,19,441288.62,4480108.5,POINT (-3.6925762058726663 40.46958053196015)
1513,ENSENANZA DE IDIOMAS,IDIOMAS,PRIVADO,BELLAS VISTAS       ,1,TETUAN              ,6,CALLE                    NUMANCIA                                          ,21,439592.62,4478484.5,POINT (-3.712426680771757 40.45482931560473)
1514,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    BASCONES                                          ,17,441013.62,4479996.5,POINT (-3.6958095445392916 40.468552108478235)
1515,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,INFANTIL Y PRIMARIA,PRIVADO,VALDEACEDERAS       ,5,TETUAN              ,6,CALLE                    SORGO                                             ,58,440150.62,4479964.5,POINT (-3.705985836564802 40.468202112734694)
1516,CENTROS PRIVADOS CONCERTADOS EDUC INFANTIL Y EDUC PRIMARIA,INFANTIL Y PRIMARIA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,CALLE                    MARTIRES DE LA VENTILLA                           ,34,0.0,0.0,POINT (-7.488743884387038 0)
1517,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,CUATRO CAMINOS      ,2,TETUAN              ,6,CALLE                    GENERAL RAMIREZ DE MADRID                         ,8,440832.9,4478458.5,POINT (-3.6977978042251904 40.454684318177925)
1518,AUTOESCUELA,AUTOESCUELA,PRIVADO,ALMENARA            ,4,TETUAN              ,6,PLAZA                    CASTILLA                                          ,7,0.0,0.0,POINT (-7.488743884387038 0)
