Nº Distrito;DISTRITO;BARRIO;PARQUES Y ZONAS VERDES DE DISTRITO CON MAYOR SUPERFICIE;Superficie (m2);Superficie (ha)
19;VICALVARO;VALDERRIVAS;URB. VALDERRIBAS ZV 9.4;24.433,49;2,44
19;VICALVARO;VALDEBERNARDO;PARQUE LADERA LOS ALMENDROS;24.086,72;2,41
19;VICALVARO;VALDEBERNARDO;BULEVAR INDALECIO  PRIETO;22.320,92;2,23
19;VICALVARO;CASCO H.VICALVARO;LTRL. AVDA. DEMOCRACIA PPI - PAU 4;20.320,62;2,03
19;VICALVARO;CASCO H.VICALVARO;URB. LA CATALANA 2ª FASE;17.186,22;1,72
19;VICALVARO;VALDERRIVAS;MED. VILLABLANCA;16.135,99;1,61
19;VICALVARO;CASCO H.VICALVARO;LA DEHESA - ZONA AJARDINADA;15.177,56;1,52
19;VICALVARO;VALDEBERNARDO;URB. VALDERRIBAS ZV 1.2;13.680,34;1,37
19;VICALVARO;CASCO H.VICALVARO;AVDA. DEL PARQUE - POL. IND.;13.546,63;1,35
19;VICALVARO;CASCO H.VICALVARO;PARQUE CASALARREINA;12.910,72;1,29
19;VICALVARO;VALDEBERNARDO;LAS GALLEGAS;12.570,46;1,26
19;VICALVARO;VALDERRIVAS;ZONA E-1 FASE;12.152,09;1,22
19;VICALVARO;EL CAÑAVERAL;EL CAÑAVERAL FASE 6. PARQUE RL-V06;11.759,03;1,18
19;VICALVARO;VALDEBERNARDO;Z.A. DEPOSITO;11.477,36;1,15
19;VICALVARO;CASCO H.VICALVARO;EJE DE LAS GALLEGAS - LTRL.;11.422,47;1,14
19;VICALVARO;CASCO H.VICALVARO;MED. AVDA. DEMOCRACIA;11.243,28;1,12
19;VICALVARO;VALDEBERNARDO;LTRL. AVDA. DE LAS COMUNIDADES;10.093,82;1,01
20;SAN BLAS-CANILLEJAS;HELLIN;PARQUE DE SAN BLAS - EL PARAISO;167.102,55;16,71
20;SAN BLAS-CANILLEJAS;REJAS;PARQUE OCCIDENTE - LAS MERCEDES;69.830,40;6,98
20;SAN BLAS-CANILLEJAS;REJAS;Z.F. AVDA. SEPTIMA;66.515,74;6,65
20;SAN BLAS-CANILLEJAS;REJAS;CIUDAD PEGASO - Z.A.;51.850,83;5,19
20;SAN BLAS-CANILLEJAS;EL SALVADOR;Z.F. COL. MARQUES DE SUANCES;48.612,18;4,86
20;SAN BLAS-CANILLEJAS;REJAS;Z.V. GTA. EISENHOWER;48.139,66;4,81
20;SAN BLAS-CANILLEJAS;ROSAS;PARQUE MARSELLA - TOSCANA;45.555,28;4,56
20;SAN BLAS-CANILLEJAS;REJAS;ARROYO DE REJAS;44.378,26;4,44
20;SAN BLAS-CANILLEJAS;REJAS;CERRO DE LA MESA;43.957,56;4,40
20;SAN BLAS-CANILLEJAS;REJAS;PINARES DE LA C/ YECORA;42.037,15;4,20
20;SAN BLAS-CANILLEJAS;ROSAS;A.V.C. SAN BLAS;40.845,10;4,08
20;SAN BLAS-CANILLEJAS;ROSAS;Pº GINEBRA;37.780,15;3,78
20;SAN BLAS-CANILLEJAS;REJAS;PINAR DE SAN BLAS (PARCELA 7.2);34.875,12;3,49
20;SAN BLAS-CANILLEJAS;ROSAS;Z.V. SOFIA - NIZA;33.715,54;3,37
20;SAN BLAS-CANILLEJAS;REJAS;POLÍGONO DE LAS MERCEDES;32.070,48;3,21
20;SAN BLAS-CANILLEJAS;EL SALVADOR;PARQUE LOPEZ DE ARANDA - MIAMI;28.632,68;2,86
20;SAN BLAS-CANILLEJAS;ARCOS;PARC. APAREJADORES;27.009,08;2,70
20;SAN BLAS-CANILLEJAS;HELLIN;PARC. HELLIN;26.163,45;2,62
20;SAN BLAS-CANILLEJAS;ARCOS;PARC. ALBERICIA;21.460,81;2,15
20;SAN BLAS-CANILLEJAS;ROSAS;J.M. SAN BLAS;20.674,35;2,07
20;SAN BLAS-CANILLEJAS;ROSAS;URB. PARQUE METROPOLITANO;19.440,41;1,94
20;SAN BLAS-CANILLEJAS;EL SALVADOR;MARQUESA DE SANTA MARTA;19.118,48;1,91
20;SAN BLAS-CANILLEJAS;ROSAS;PARQUE BUTRON;18.910,11;1,89
20;SAN BLAS-CANILLEJAS;ROSAS;MED. AVDA. ARCENTALES;17.932,00;1,79
20;SAN BLAS-CANILLEJAS;EL SALVADOR;JOSEFA VALCARCEL;15.095,05;1,51
20;SAN BLAS-CANILLEJAS;SIMANCAS;PARQUE C/ FERNANDO VII;16.424,62;1,64
20;SAN BLAS-CANILLEJAS;ARCOS;AQUITANIA - INSTITUCION LIBRE DE ENSEÑANZA;16.364,00;1,64
20;SAN BLAS-CANILLEJAS;SIMANCAS;AVDA. DE ARCENTALES - MIGUEL YUSTE;15.957,29;1,60
20;SAN BLAS-CANILLEJAS;EL SALVADOR;ALCALA - IQUITOS - RIOBAMBA;15.367,03;1,54
20;SAN BLAS-CANILLEJAS;AMPOSTA;PARC. PAÑERIA;14.883,15;1,49
20;SAN BLAS-CANILLEJAS;ARCOS;PARC. MONTAMARTA;13.948,34;1,39
20;SAN BLAS-CANILLEJAS;HELLIN;PARC. ALBAIDA;19.209,47;1,92
20;SAN BLAS-CANILLEJAS;CANILLEJAS;PARQUE ARQUITECTO ANTONIO PALACIOS;13.849,65;1,38
21;BARAJAS;ALAMEDA DE OSUNA;PARQUE BIOSALUDABLE;97.424,75;9,74
21;BARAJAS;TIMON;ALEJANDRO DE LA SOTA;88.416,74;8,84
21;BARAJAS;TIMON;ENSANCHE DE BARAJAS;76.925,48;7,69
21;BARAJAS;TIMON;Z.F. ENSANCHE DE BARAJAS;75.515,08;7,55
21;BARAJAS;CORRALEJOS;Z.F. LOS CORONALES;63.729,84;6,37
21;BARAJAS;TIMON;CONECTOR JOSE ANTONIO CORRALES;55.128,08;5,51
21;BARAJAS;CORRALEJOS;Z.A. LOS CORONALES;47.446,13;4,74
21;BARAJAS;TIMON;FUERZAS ARMADAS;45.968,68;4,60
21;BARAJAS;TIMON;CONECTOR FERNANDO HIGUERAS;27.846,96;2,78
21;BARAJAS;ALAMEDA DE OSUNA;Z.F. MANUEL AGUILAR M. - PANTEON;23.536,14;2,35
21;BARAJAS;TIMON;MED. MANUEL FRAGA IRIBARNE;20.557,10;2,06
21;BARAJAS;CORRALEJOS;Z.A. ENTRE C/ RIBERA DEL SENA Y TALUD;19.215,42;1,92
21;BARAJAS;TIMON;CONECTOR ESTANISLAO PEREZ PITA;18.849,78;1,88
21;BARAJAS;ALAMEDA DE OSUNA;OBENQUE - MOTOCINE;16.725,27;1,67
21;BARAJAS;TIMON;ARROYO DEL TESORO;16.656,31;1,67
21;BARAJAS;ALAMEDA DE OSUNA;VIA DE LA GASOLINA;16.446,62;1,64
21;BARAJAS;ALAMEDA DE OSUNA;PARQUE Pº ALAMEDA DE OSUNA - BIOSALUDABLE;15.671,35;1,57
21;BARAJAS;ALAMEDA DE OSUNA;MED. AVDA. LOGROÑO I;13.945,94;1,39
21;BARAJAS;CORRALEJOS;MEDS. CAMPO NACIONES;13.567,12;1,36
21;BARAJAS;ALAMEDA DE OSUNA;ANTIGUA EMBAJADA REPUBLICA DOMINICANA;12.797,49;1,28
21;BARAJAS;TIMON;ANTOÑETE;11.014,09;1,10
21;BARAJAS;CORRALEJOS;Z.A. ENTRE C/ RIBERA DEL SENA Y LIMITE FFCC;10.533,89;1,05
21;BARAJAS;ALAMEDA DE OSUNA;APARCAMIENTO DEL CAPRICHO;10.205,28;1,02
21;BARAJAS;TIMON;Z.F. ARTEMISA;9.947,23;0,99
21;BARAJAS;ALAMEDA DE OSUNA;FORESTAL VIA FERREA;9.476,87;0,95
21;BARAJAS;ALAMEDA DE OSUNA;PARQUE MARI LUZ NAJERA;8.346,17;0,83
