id_equip,nombre_equip,tipo_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud,geometry
69,Auditorio al aire libre. Parque de Pradolongo,AUDITORIO,PRADOLONGO,127,USERA,12,AVENIDA POBLADOS,169.0,28041,439998,4469285,40.3719863231287,-3.7067784594450575,POINT (439998 4469285)
70,Auditorio al aire libre. Parque Lineal del Manzanares,AUDITORIO,SAN FERMIN,123,USERA,12,CAMINO PERALES,48.0,28041,441308,4470116,40.379565707685856,-3.6914252404682895,POINT (441308 4470116)
71,Auditorio al aire libre. Carlos Jiménez de Parga,AUDITORIO,PALOMERAS SURESTE,134,PUENTE DE VALLECAS,13,AVENIDA RAFAEL ALBERTI,13.0,28038,445830,4471232,40.389925582492495,-3.6382516529937448,POINT (445830 4471232)
72,Auditorio al aire libre. Centro Cultural el Pozo,AUDITORIO,ENTREVIAS,131,PUENTE DE VALLECAS,13,CALLE ANDALUCES DEL POZO,1.0,28053,443905,4469263,40.37206022661496,-3.66075800229902,POINT (443905 4469263)
73,Auditorio al aire libre. Entrevías,AUDITORIO,ENTREVIAS,131,PUENTE DE VALLECAS,13,RONDA SUR,13.0,28053,443009,4469412,40.37302468875877,-3.671950235640722,POINT (443009 4469412)
74,Auditorio al aire libre. Parque Amós Acero,AUDITORIO,SAN DIEGO,132,PUENTE DE VALLECAS,13,CALLE SIERRA DE ALQUIFE,20.0,28053,443462,4471081,40.38840792931046,-3.6661371810507912,POINT (443462 4471081)
75,Auditorio al aire libre. Pavones,AUDITORIO,VINATEROS,146,MORATALAZ,14,CALLE HACIENDA DE PAVONES,209.0,28030,445938,4472508,40.40142760716397,-3.6370875655785446,POINT (445938 4472508)
76,Sala Silikona,SALA CONCIERTOS,MEDIA LEGUA,144,MORATALAZ,14,PLAZA ENCUENTRO,1.0,28030,444675,4473006,40.40583620131156,-3.6520077936350175,POINT (444675 4473006)
77,Auditorio al aire libre. Parque de la Cuña Verde,AUDITORIO,MARROQUINA,143,MORATALAZ,14,CALLE JOSE BERGAMIN,62.0,28030,446334,4473592,40.41122222440268,-3.632506066389281,POINT (446334 4473592)
78,Auditorio al aire libre. Parque del Calero,AUDITORIO,CONCEPCION,154,CIUDAD LINEAL,15,CALLE JOSE DEL HIERRO,3.0,28027,444836,4476387,40.43629956289038,-3.6504096146979457,POINT (444836 4476387)
79,Auditorio Carmen Laforet (Ciudad Lineal),AUDITORIO,COSTILLARES,159,CIUDAD LINEAL,15,CALLE JAZMIN,46.0,28033,443568,4481205,40.47960826297022,-3.665799020694628,POINT (443568 4481205)
80,Auditorio al aire libre. Pilar García Peña (Parque Pinar del Rey),AUDITORIO,CANILLAS,163,HORTALEZA,16,CARRETERA CANILLAS,1.0,28043,444354,4479394,40.46335596968574,-3.65636755952747,POINT (444354 4479394)
81,Auditorio Municipal el Espinillo,AUDITORIO,LOS ROSALES,174,VILLAVERDE,17,CALLE TERTULIA,5.0,28041,441288,4468354,40.36180966975026,-3.6927748531714815,POINT (441288 4468354)
82,Auditorio Municipal Las Trece Rosas,AUDITORIO,CASCO H.VALLECAS,181,VILLA DE VALLECAS,18,CALLE MONTE DE MONTJUICH,7.0,28031,447581,4470145,40.38024517813902,-3.617532420014534,POINT (447581 4470145)
83,Auditorio Municipal al aire libre Lola Camarena,AUDITORIO,ENSANCHE DE VALLECAS,183,VILLA DE VALLECAS,18,AVENIDA LA GAVIA,13.0,28051,448205,4469500,40.37447621683769,-3.610129155031428,POINT (448205 4469500)
84,Auditorio Parque de la Cuña Verde de Vicálvaro,AUDITORIO,AMBROZ,192,VICALVARO,19,CALLE CASALARREINA,26.0,28032,447938,4473364,40.40926646574248,-3.613590118065351,POINT (447938 4473364)
85,Recinto Ferial Vicálvaro,USO POLIVALENTE,CASCO H.VICALVARO,191,VICALVARO,19,PASEO POLIDEPORTIVO,142.0,28032,449367,4473005,40.40612043638959,-3.5967323694208435,POINT (449367 4473005)
86,Auditorio al aire libre. Parque de Canillejas,AUDITORIO,CANILLEJAS,207,SAN BLAS-CANILLEJAS,20,CALLE NECTAR,32.0,28022,448169,4477063,40.44260378345522,-3.611169305772912,POINT (448169 4477063)
87,Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),AUDITORIO,HELLIN,202,SAN BLAS-CANILLEJAS,20,AVENIDA ARCENTALES,4.0,28037,447225,4475668,40.42996840999023,-3.622184001035289,POINT (447225 4475668)
