id_local,tipo_local,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
155,BAR RESTAURANTE,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    MESON DE PAREDES                                  ,59,440341.6,4473319.5,40.408354778546084,-3.7031092846377267
156,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    ISABEL II                                         ,5,439805.6,4474453.5,40.41853179345257,-3.709533197366528
157,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    CONDE DE XIQUENA                                  ,12,441123.6,4474982.5,40.42339157392594,-3.6940475217693045
158,BAR,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA ALTA                                         ,27,439773.6,4473711.5,40.41184519956678,-3.7098401165661565
159,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    ARGENSOLA                                         ,15,441066.6,4475231.5,40.42563064913117,-3.69474248186167
160,BAR RESTAURANTE,PALACIO             ,11,CENTRO              ,1,PLAZA                    SAN MIGUEL                                        ,4,439894.6,4474075.5,40.41513302784485,-3.7084484800009907
161,SALA DE EVENTOS,CORTES              ,13,CENTRO              ,1,PLAZA                    CORTES                                            ,7,440972.6,4474101.5,40.41544440216111,-3.695745651866095
162,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    BARQUILLO                                         ,30,440996.6,4474916.5,40.42278801791439,-3.695538396154885
163,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    CONDE DE XIQUENA                                  ,3,441103.6,4474856.5,40.42225508997071,-3.6942715994968016
164,RESTAURANTE,PALACIO             ,11,CENTRO              ,1,CALLE                    CANOS DEL PERAL                                   ,2,439855.6,4474454.5,40.41854441711513,-3.7089439666242807
165,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    PRIM                                              ,5,441102.6,4474824.5,40.42196674779485,-3.6942804229079926
166,BAR RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    LIBERTAD                                          ,9,440832.6,4474689.5,40.420731447993795,-3.697450389714033
167,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    INFANTAS                                          ,23,440797.6,4474633.5,40.42022448386843,-3.69785771882119
168,BAR,PALACIO             ,11,CENTRO              ,1,CALLE                    MAYOR                                             ,51,439840.6,4474122.5,40.41555252405211,-3.7090893641487175
169,RESTAURANTE,JUSTICIA            ,14,CENTRO              ,1,CALLE                    COLMENARES                                        ,7,440882.6,4474675.5,40.42060888307393,-3.6968597422830363
