id_inmueble,precio,planta,int/ext,nº hab,m2,ascensor,garage,barrio,id_barrio,distrito,id_distrito,latitud,longitud
75,340000,2.0,EXTERIOR,3.0,86.0,True,False,PACIFICO,31,RETIRO,3,40.40596,-3.67793
76,500000,2.0,EXTERIOR,4.0,120.0,True,False,PACIFICO,31,RETIRO,3,40.40669,-3.67218
77,930000,6.0,EXTERIOR,6.0,245.0,True,True,PACIFICO,31,RETIRO,3,40.40078,-3.680823
78,399000,0.0,EXTERIOR,3.0,89.0,True,False,PACIFICO,31,RETIRO,3,40.40705,-3.67788
79,645000,1.0,INTERIOR,3.0,150.0,True,False,PACIFICO,31,RETIRO,3,40.40704,-3.67649
80,360000,1.0,EXTERIOR,1.0,71.0,True,False,PACIFICO,31,RETIRO,3,40.40447,-3.67869
81,400000,1.0,EXTERIOR,2.0,75.0,True,False,PACIFICO,31,RETIRO,3,40.40485,-3.68304
82,499000,1.0,INTERIOR,3.0,96.0,True,False,PACIFICO,31,RETIRO,3,40.40404,-3.674939
83,350000,6.0,EXTERIOR,5.0,83.0,True,False,PACIFICO,31,RETIRO,3,40.40388,-3.679338
84,308000,1.0,EXTERIOR,1.0,67.0,True,False,PACIFICO,31,RETIRO,3,40.40548,-3.67338
85,310500,3.0,EXTERIOR,3.0,78.0,False,False,PACIFICO,31,RETIRO,3,40.40494,-3.675731
86,516681,3.0,INTERIOR,2.0,117.0,True,False,PACIFICO,31,RETIRO,3,40.40603,-3.67818
87,294000,2.0,INTERIOR,2.0,51.0,True,False,PACIFICO,31,RETIRO,3,40.4056,-3.680201
88,214900,0.0,EXTERIOR,1.0,32.0,False,False,PACIFICO,31,RETIRO,3,40.40469,-3.680256
89,295000,2.0,EXTERIOR,2.0,79.0,False,False,PACIFICO,31,RETIRO,3,40.40494,-3.678527
90,440000,1.0,EXTERIOR,3.0,150.0,False,False,PACIFICO,31,RETIRO,3,40.40468,-3.681901
91,550000,1.0,INTERIOR,3.0,119.0,True,False,PACIFICO,31,RETIRO,3,40.40162,-3.675644
92,460000,2.0,INTERIOR,4.0,120.0,True,False,PACIFICO,31,RETIRO,3,40.40282,-3.678257
93,180000,0.0,EXTERIOR,1.0,38.0,True,False,PACIFICO,31,RETIRO,3,40.40626,-3.678804
94,740000,1.0,EXTERIOR,4.0,150.0,True,False,PACIFICO,31,RETIRO,3,40.40484,-3.677841
95,620000,2.0,EXTERIOR,3.0,104.0,True,False,PACIFICO,31,RETIRO,3,40.40401,-3.683638
96,650000,7.0,EXTERIOR,4.0,164.0,True,False,PACIFICO,31,RETIRO,3,40.40875,-3.679884
97,590000,4.0,EXTERIOR,3.0,104.0,True,False,PACIFICO,31,RETIRO,3,40.40535,-3.677996
98,420000,6.0,EXTERIOR,4.0,104.0,True,False,PACIFICO,31,RETIRO,3,40.40488,-3.675472
99,149990,2.0,EXTERIOR,2.0,48.0,False,False,PACIFICO,31,RETIRO,3,40.40258,-3.674077
100,429000,0.0,EXTERIOR,4.0,129.0,False,False,PACIFICO,31,RETIRO,3,40.40483,-3.679005
101,695000,8.0,EXTERIOR,3.0,165.0,True,False,PACIFICO,31,RETIRO,3,40.40588,-3.679856
102,430500,1.0,INTERIOR,2.0,103.0,True,False,PACIFICO,31,RETIRO,3,40.40691,-3.673473
103,355000,4.0,EXTERIOR,3.0,80.0,False,False,PACIFICO,31,RETIRO,3,40.4052,-3.676901
104,290000,11.0,EXTERIOR,2.0,65.0,True,False,PACIFICO,31,RETIRO,3,40.40499,-3.67563
105,550000,10.0,EXTERIOR,3.0,110.0,True,True,PACIFICO,31,RETIRO,3,40.40621,-3.678044
106,175000,3.0,EXTERIOR,1.0,37.0,True,False,ADELFAS,32,RETIRO,3,40.40278,-3.668995
107,275000,6.0,EXTERIOR,2.0,62.0,True,False,ADELFAS,32,RETIRO,3,40.39855,-3.67123
108,425000,1.0,EXTERIOR,2.0,95.0,True,True,ADELFAS,32,RETIRO,3,40.40209,-3.67056
109,549999,7.0,EXTERIOR,3.0,104.0,True,False,ADELFAS,32,RETIRO,3,40.39922,-3.674008
110,189500,6.0,INTERIOR,1.0,48.0,False,False,ADELFAS,32,RETIRO,3,40.39927,-3.670185
111,595000,0.0,EXTERIOR,4.0,145.0,True,True,ADELFAS,32,RETIRO,3,40.40525,-3.66714
112,520000,0.0,INTERIOR,2.0,121.0,True,True,ADELFAS,32,RETIRO,3,40.40461,-3.66744
113,457000,1.0,EXTERIOR,1.0,69.0,True,True,ADELFAS,32,RETIRO,3,40.40371,-3.67136
114,370000,2.0,EXTERIOR,2.0,79.0,True,False,ADELFAS,32,RETIRO,3,40.39936,-3.673877
115,189500,2.0,INTERIOR,1.0,55.0,False,False,ADELFAS,32,RETIRO,3,40.39907,-3.67003
116,550000,1.0,EXTERIOR,3.0,104.0,True,False,ADELFAS,32,RETIRO,3,40.39812,-3.672641
117,265000,2.0,EXTERIOR,2.0,65.0,False,False,ADELFAS,32,RETIRO,3,40.40054,-3.67317
118,250000,0.0,EXTERIOR,1.0,63.0,True,True,ADELFAS,32,RETIRO,3,40.39812,-3.672641
119,182000,1.0,INTERIOR,2.0,50.0,False,False,ADELFAS,32,RETIRO,3,40.40034,-3.669697
120,189500,6.0,EXTERIOR,1.0,48.0,True,False,ADELFAS,32,RETIRO,3,40.39971,-3.670999
121,955000,1.0,EXTERIOR,1.0,48.0,False,False,ADELFAS,32,RETIRO,3,40.40031,-3.66965
122,525000,3.0,EXTERIOR,2.0,97.0,True,True,ADELFAS,32,RETIRO,3,40.40371,-3.67136
123,567000,8.0,INTERIOR,2.0,102.0,True,True,ADELFAS,32,RETIRO,3,40.40371,-3.67136
124,525000,6.0,EXTERIOR,3.0,129.0,True,False,ADELFAS,32,RETIRO,3,40.403,-3.671912
125,208000,6.0,INTERIOR,3.0,69.0,True,False,ADELFAS,32,RETIRO,3,40.39956,-3.670483
126,357000,3.0,EXTERIOR,1.0,72.0,True,True,ADELFAS,32,RETIRO,3,40.40371,-3.67136
127,496000,6.0,INTERIOR,2.0,102.0,True,True,ADELFAS,32,RETIRO,3,40.40371,-3.67136
128,1800000,10.0,EXTERIOR,5.0,241.0,True,False,ADELFAS,32,RETIRO,3,40.40649,-3.670807
129,142000,7.0,EXTERIOR,1.0,30.0,True,False,ADELFAS,32,RETIRO,3,40.39993,-3.671844
130,395200,7.0,INTERIOR,4.0,100.0,True,False,ADELFAS,32,RETIRO,3,40.40189,-3.670108
131,750000,7.0,EXTERIOR,4.0,150.0,True,True,ADELFAS,32,RETIRO,3,40.40199,-3.673433
132,360000,6.0,EXTERIOR,1.0,63.0,True,False,ADELFAS,32,RETIRO,3,40.40393,-3.670664
133,565000,11.0,EXTERIOR,4.0,130.0,True,True,ADELFAS,32,RETIRO,3,40.40532,-3.667203
134,820000,19.0,INTERIOR,4.0,173.0,True,False,ESTRELLA,33,RETIRO,3,40.4161,-3.664172
135,650000,6.0,EXTERIOR,3.0,94.0,True,False,ESTRELLA,33,RETIRO,3,40.41782,-3.668453
136,279000,7.0,INTERIOR,3.0,72.0,False,False,ESTRELLA,33,RETIRO,3,40.40718,-3.665109
137,580000,1.0,EXTERIOR,4.0,159.0,True,True,ESTRELLA,33,RETIRO,3,40.4111,-3.663879
138,880000,8.0,EXTERIOR,3.0,167.0,True,False,ESTRELLA,33,RETIRO,3,40.41692,-3.664333
139,694000,19.0,INTERIOR,4.0,150.0,True,False,ESTRELLA,33,RETIRO,3,40.41655,-3.662496
140,278000,8.0,EXTERIOR,1.0,51.0,True,False,ESTRELLA,33,RETIRO,3,40.40892,-3.666807
141,515000,6.0,EXTERIOR,3.0,101.0,True,False,ESTRELLA,33,RETIRO,3,40.41071,-3.668623
142,280000,6.0,EXTERIOR,3.0,82.0,False,False,ESTRELLA,33,RETIRO,3,40.40736,-3.668687
143,495000,6.0,EXTERIOR,3.0,101.0,False,False,ESTRELLA,33,RETIRO,3,40.40952,-3.66952
144,820000,19.0,EXTERIOR,4.0,173.0,True,False,ESTRELLA,33,RETIRO,3,40.41742,-3.664498
145,880000,8.0,EXTERIOR,3.0,167.0,True,False,ESTRELLA,33,RETIRO,3,40.41855,-3.664893
146,533000,7.0,EXTERIOR,3.0,126.0,True,False,ESTRELLA,33,RETIRO,3,40.41985,-3.667795
147,694000,19.0,EXTERIOR,4.0,150.0,True,False,ESTRELLA,33,RETIRO,3,40.41765,-3.661694
148,425000,6.0,INTERIOR,1.0,55.0,True,False,ESTRELLA,33,RETIRO,3,40.41196,-3.67112
149,410000,6.0,EXTERIOR,2.0,52.0,True,False,ESTRELLA,33,RETIRO,3,40.41314,-3.67022
150,615000,7.0,INTERIOR,3.0,131.0,True,False,ESTRELLA,33,RETIRO,3,40.40994,-3.665007
151,498000,11.0,EXTERIOR,3.0,116.0,True,False,ESTRELLA,33,RETIRO,3,40.40703,-3.669165
152,425000,6.0,INTERIOR,1.0,52.0,True,True,ESTRELLA,33,RETIRO,3,40.41111,-3.668993
153,645000,9.0,INTERIOR,3.0,102.0,True,False,ESTRELLA,33,RETIRO,3,40.41941,-3.667979
154,279000,7.0,EXTERIOR,3.0,72.0,False,False,ESTRELLA,33,RETIRO,3,40.40647,-3.667305
155,660000,11.0,EXTERIOR,4.0,157.0,True,True,ESTRELLA,33,RETIRO,3,40.40958,-3.665355
156,279000,7.0,EXTERIOR,3.0,72.0,True,False,ESTRELLA,33,RETIRO,3,40.40803,-3.665024
157,590000,0.0,EXTERIOR,4.0,156.0,True,False,ESTRELLA,33,RETIRO,3,40.40934,-3.666359
158,482000,15.0,EXTERIOR,3.0,95.0,True,False,ESTRELLA,33,RETIRO,3,40.41555,-3.666492
159,399000,11.0,INTERIOR,3.0,69.0,True,False,ESTRELLA,33,RETIRO,3,40.4083,-3.66944
160,469000,11.0,EXTERIOR,3.0,118.0,True,False,ESTRELLA,33,RETIRO,3,40.40699,-3.668924
161,495000,0.0,EXTERIOR,3.0,120.0,True,True,ESTRELLA,33,RETIRO,3,40.40937,-3.66951
162,682000,10.0,EXTERIOR,3.0,140.0,True,False,ESTRELLA,33,RETIRO,3,40.41881,-3.66256
163,365000,12.0,INTERIOR,3.0,85.0,True,False,ESTRELLA,33,RETIRO,3,40.40921,-3.671087
164,880000,2.0,EXTERIOR,3.0,167.0,True,True,ESTRELLA,33,RETIRO,3,40.4169,-3.66484
165,277000,8.0,INTERIOR,2.0,145.0,True,False,ESTRELLA,33,RETIRO,3,40.40887,-3.663939
166,1058000,11.0,EXTERIOR,3.0,174.0,True,True,ESTRELLA,33,RETIRO,3,40.4208,-3.668845
167,525000,2.0,EXTERIOR,3.0,120.0,True,False,ESTRELLA,33,RETIRO,3,40.40691,-3.66906
168,399000,0.0,INTERIOR,2.0,73.0,True,False,ESTRELLA,33,RETIRO,3,40.41991,-3.666284
169,415000,1.0,EXTERIOR,3.0,98.0,True,False,ESTRELLA,33,RETIRO,3,40.40738,-3.66987
170,820000,10.0,EXTERIOR,2.0,89.0,True,False,ESTRELLA,33,RETIRO,3,40.4119,-3.668817
171,750000,4.0,EXTERIOR,4.0,172.0,True,False,ESTRELLA,33,RETIRO,3,40.41163,-3.66341
172,279000,7.0,EXTERIOR,3.0,72.0,True,False,ESTRELLA,33,RETIRO,3,40.40654,-3.66771
173,350000,6.0,EXTERIOR,2.0,70.0,True,False,ESTRELLA,33,RETIRO,3,40.4066,-3.664914
174,330000,7.0,EXTERIOR,3.0,90.0,True,False,ESTRELLA,33,RETIRO,3,40.41046,-3.669163
175,920000,2.0,EXTERIOR,5.0,166.0,True,True,ESTRELLA,33,RETIRO,3,40.41838,-3.66363
176,780000,6.0,INTERIOR,4.0,240.0,False,False,ESTRELLA,33,RETIRO,3,40.41961,-3.66683
177,749000,12.0,EXTERIOR,2.0,85.0,True,False,IBIZA,34,RETIRO,3,40.41673,-3.672522
178,600000,6.0,EXTERIOR,4.0,105.0,True,False,IBIZA,34,RETIRO,3,40.41905,-3.676096
179,2450000,13.0,EXTERIOR,3.0,278.0,True,False,IBIZA,34,RETIRO,3,40.42339,-3.67705
180,799000,7.0,EXTERIOR,3.0,133.0,True,False,IBIZA,34,RETIRO,3,40.41818,-3.675513
181,1600000,10.0,INTERIOR,6.0,250.0,True,False,IBIZA,34,RETIRO,3,40.41988,-3.676231
182,330000,4.0,EXTERIOR,1.0,46.0,True,False,IBIZA,34,RETIRO,3,40.41921,-3.67342
183,385000,1.0,INTERIOR,2.0,77.0,True,False,IBIZA,34,RETIRO,3,40.41933,-3.675979
