id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
133,HOTEL,NO,CORTES              ,13,CENTRO              ,1,CALLE                    PRINCIPE                                          ,26,440590.6,4473978.5,40.41430917833615,-3.7002364143493383
134,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    LOPE DE VEGA                                      ,49,441076.6,4473932.5,40.41392933660403,-3.6945042539578017
135,VIVIENDA TURISTICA,NO,PALACIO             ,11,CENTRO              ,1,PLAZA                    MORERIA                                           ,1,439513.6,4473882.5,40.41336679314499,-3.712920560107294
136,HOTEL,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    TOLEDO                                            ,111,439685.6,4473294.5,40.40808229649168,-3.710837699251584
137,HOTEL,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    ESPADA                                            ,4,440203.6,4473698.5,40.41175909121931,-3.7047711956908933
138,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CABEZA                                            ,24,440426.6,4473709.5,40.41187417470526,-3.7021440947960125
139,HOTEL,SI,SOL                 ,16,CENTRO              ,1,CALLE                    ARENAL                                            ,15,439969.6,4474330.5,40.4174355992949,-3.707588601195051
140,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    CALVARIO                                          ,25,440450.6,4473673.5,40.411551586691004,-3.701857876684239
141,HOTEL,SI,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    VALENCIA                                          ,11,440601.6,4473183.5,40.407148215742765,-3.7000325552125877
143,HOTEL,NO,JUSTICIA            ,14,CENTRO              ,1,PLAZA                    PEDRO ZEROLO                                      ,3,440637.6,4474755.5,40.42131211873066,-3.699754998936063
144,HOSTAL,NO,JUSTICIA            ,14,CENTRO              ,1,CALLE                    GRAN VIA                                          ,6,440796.6,4474536.5,40.41935059037892,-3.6978604760644007
145,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,CALLE                    INFANTAS                                          ,26,440676.6,4474652.5,40.42038702737384,-3.699285697254403
146,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    ECHEGARAY                                         ,8,440640.6,4474158.5,40.41593427253739,-3.699663920864625
147,HOSTAL,NO,CORTES              ,13,CENTRO              ,1,CALLE                    ATOCHA                                            ,117,441086.6,4473518.5,40.410200526937025,-3.6943480615091913
148,HOSTAL,NO,JUSTICIA            ,14,CENTRO              ,1,CALLE                    SAGASTA                                           ,22,440766.6,4475498.5,40.42801460449781,-3.6983036903887627
149,HOTEL,NO,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    DOCTOR CORTEZO                                    ,3,440302.6,4473916.5,40.41373004550724,-3.703624902676348
150,CASA DE HUESPEDES,NO,CORTES              ,13,CENTRO              ,1,CALLE                    HUERTAS                                           ,21,440669.6,4473914.5,40.41373827065312,-3.699299367944388
151,HOTEL,SI,PALACIO             ,11,CENTRO              ,1,CALLE                    CAMPOMANES                                        ,4,439823.6,4474488.5,40.4188483912776,-3.7093243517288683
152,VIVIENDA TURISTICA,NO,EMBAJADORES         ,12,CENTRO              ,1,TRAVESIA                 AMPARO                                            ,11,440292.6,4473591.5,40.41080157277917,-3.7037122596871885
153,HOTEL,SI,EMBAJADORES         ,12,CENTRO              ,1,CALLE                    JUANELO                                           ,24,440022.6,4473629.5,40.41112448406164,-3.706897836356468
154,APART-HOTEL,NO,PALACIO             ,11,CENTRO              ,1,CALLE                    CAVA BAJA                                         ,5,439908.6,4473873.5,40.41331432858928,-3.7082643966029116
155,APART-HOTEL,NO,PALACIO             ,11,CENTRO              ,1,CALLE                    CALATRAVA                                         ,17,439633.6,4473415.5,40.40916855211145,-3.7114619810244958
156,HOTEL,SI,JUSTICIA            ,14,CENTRO              ,1,CALLE                    INFANTAS                                          ,5,440576.6,4474720.5,40.42099246820119,-3.7004707363471714
157,HOTEL,SI,CORTES              ,13,CENTRO              ,1,CALLE                    SAN AGUSTIN                                       ,3,440881.6,4474066.5,40.415122646050584,-3.6968149251106195
158,HOTEL,SI,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    GRAN VIA                                          ,74,439781.6,4474949.5,40.422998249800344,-3.709863039218625
159,VIVIENDA TURISTICA,NO,UNIVERSIDAD         ,15,CENTRO              ,1,CALLE                    LUNA                                              ,11,440078.6,4474860.5,40.42221793930813,-3.7063538275384054
