id_zonaverde,nombre_zv,barrio,id_barrio,distrito,id_distrito,Superficie (m2),Superficie (ha)
84,JARDINES DEL TTE. ALCALDE PEREZ PILLADO,VALLEHERMOSO,76,CHAMBERI,7,"3.775,21","0,38"
85,Jose Luis Sampedro,ARAPILES,72,CHAMBERI,7,"3.770,05","0,38"
86,PZA. DE CHAMBERI,ALMAGRO,74,CHAMBERI,7,"2.771,55","0,28"
87,PZA. DE OLAVIDE,TRAFALGAR,73,CHAMBERI,7,"5.731,60","0,57"
88,JARDINES ENRIQUE HERREROS,VALLEHERMOSO,76,CHAMBERI,7,"6.665,80","0,67"
89,LTRL. NUEVOS MINISTERIOS,RIOS ROSAS,75,CHAMBERI,7,"7.138,97","0,71"
90,PÂº CASTELLANA IV,ALMAGRO,74,CHAMBERI,7,"25.310,51","2,53"
91,JARDINES DE  ANDRÃS SABORIT,RIOS ROSAS,75,CHAMBERI,7,"5.606,24","0,56"
92,PZA DEL CONDE DEL VALLE DE SUCHIL,ARAPILES,72,CHAMBERI,7,"5.310,85","0,53"
93,PARQUE ARROYO DE LOS PINOS,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"25.695,55","2,57"
94,COMPENSATORIA-ARROYO FRESNO,MIRASIERRA,87,FUENCARRAL-EL PARDO,8,"24.585,42","2,46"
95,LAS TABLAS - GTAS.,VALVERDE,86,FUENCARRAL-EL PARDO,8,"24.918,95","2,49"
96,Z.A. PÂº TIERRA DE MELIDE,VALVERDE,86,FUENCARRAL-EL PARDO,8,"25.603,26","2,56"
97,JARDINES CEMENTERIO MONTECARMELO,EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"16.808,41","1,68"
98,"Z.A. SANTUARIO DE VALVERDE, 91-99 POST. Y GTA.",EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"27.279,71","2,73"
99,POBLADO DIRIGIDO DE FUENCARRAL,VALVERDE,86,FUENCARRAL-EL PARDO,8,"29.054,24","2,91"
100,Z.A. C/ SAN MILLAN DE LA COGOLLA,VALVERDE,86,FUENCARRAL-EL PARDO,8,"30.217,40","3,02"
101,PARQUE PEÃAGRANDE,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"30.687,08","3,07"
102,Z.F. PARC. 38 Y 39 DE MIRASIERRA,MIRASIERRA,87,FUENCARRAL-EL PARDO,8,"24.448,99","2,44"
103,MONTECARMELO INTBL. OESTE,EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"26.559,78","2,66"
104,PARQUE CERRO PEÃABEL,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"24.366,21","2,44"
105,PARQUE SANTA ANA 2Âª FASE,VALVERDE,86,FUENCARRAL-EL PARDO,8,"19.913,87","1,99"
106,AVDA. VEREDA DE GANAPANES,VALVERDE,86,FUENCARRAL-EL PARDO,8,"15.978,02","1,60"
107,POL. STA. ANA,VALVERDE,86,FUENCARRAL-EL PARDO,8,"23.173,71","2,32"
108,PARQUE DE FUENCARRAL,VALVERDE,86,FUENCARRAL-EL PARDO,8,"21.676,81","2,17"
109,PARQUE BEGOÃA,VALVERDE,86,FUENCARRAL-EL PARDO,8,"21.071,89","2,11"
110,PARC. NOROESTE,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"20.525,49","2,05"
111,Z.F. LAS TABLAS V-10,VALVERDE,86,FUENCARRAL-EL PARDO,8,"17.996,38","1,80"
112,MONTECARMELO INTBL. ESTE,EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"30.925,53","3,09"
113,Z.A. LAS TABLAS V-32 Y V-34,VALVERDE,86,FUENCARRAL-EL PARDO,8,"17.703,44","1,77"
114,Z.V. LA COMA,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"17.564,08","1,76"
115,POL. 10 V.V. VERTEDERO,LA PAZ,85,FUENCARRAL-EL PARDO,8,"17.180,13","1,72"
116,PARQUE DE LA SUPERMANZANA 7,LA PAZ,85,FUENCARRAL-EL PARDO,8,"23.747,34","2,37"
117,PARQUE FUENTECHICA,VALVERDE,86,FUENCARRAL-EL PARDO,8,"17.853,14","1,79"
118,POL. 26 (C/ CARDENAL HERRERA ORIA),LA PAZ,85,FUENCARRAL-EL PARDO,8,"31.687,17","3,17"
119,LAS TABLAS - MED.,VALVERDE,86,FUENCARRAL-EL PARDO,8,"33.352,78","3,34"
120,MONTECARMELO - Z.F.,EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"468.340,81","46,83"
121,PARQUE NORTE Carmen Tagle,LA PAZ,85,FUENCARRAL-EL PARDO,8,"195.266,69","19,53"
122,PZAS. INTERIORES BÂº EL PILAR A,EL PILAR,84,FUENCARRAL-EL PARDO,8,"32.670,44","3,27"
123,PARQUE DE LA ALCAZABA,EL PILAR,84,FUENCARRAL-EL PARDO,8,"119.657,70","11,97"
124,Z.F. LAS TABLAS V-11,VALVERDE,86,FUENCARRAL-EL PARDO,8,"110.764,13","11,08"
125,Parque de Arroyo del Fresno TomÃ¡s,MIRASIERRA,87,FUENCARRAL-EL PARDO,8,"107.567,13","10,76"
126,PARQUE GABRIELA MISTRAL,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"103.747,66","10,37"
127,AVDA. DE LA ILUSTRACIÃN,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"101.863,35","10,19"
128,A.P.E. 08 16 ARROYO DEL FRESNO,MIRASIERRA,87,FUENCARRAL-EL PARDO,8,"87.099,15","8,71"
129,PARQUE LAS TABLAS V-6,VALVERDE,86,FUENCARRAL-EL PARDO,8,"62.190,70","6,22"
130,PAU MONTECARMELO (Z.F.),EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"61.754,86","6,18"
131,LOS TRES OLIVOS,VALVERDE,86,FUENCARRAL-EL PARDO,8,"118.947,75","11,89"
132,A.V.C. MONTECARMELO,EL GOLOSO,88,FUENCARRAL-EL PARDO,8,"61.059,11","6,11"
133,PARQUE VALLE DE ENMEDIO Y ALREDEDORES,MIRASIERRA,87,FUENCARRAL-EL PARDO,8,"61.722,50","6,17"
134,PARQUE DEL PUEBLO DEL PARDO,EL PARDO,81,FUENCARRAL-EL PARDO,8,"33.315,74","3,33"
135,Z.A. ENTORNO ESTS. METRO LIGERO (PAU LAS TABLAS),VALVERDE,86,FUENCARRAL-EL PARDO,8,"35.065,91","3,51"
136,A.V.C. LAS TABLAS,VALVERDE,86,FUENCARRAL-EL PARDO,8,"37.929,75","3,79"
137,PARQUE ANA TUTOR,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"33.412,43","3,34"
138,PARQUE FUENTELARREINA,PENA GRANDE,83,FUENCARRAL-EL PARDO,8,"43.963,89","4,40"
139,TALUD C/ CASTILLO DE CANDANCHU,VALVERDE,86,FUENCARRAL-EL PARDO,8,"49.243,30","4,92"
140,PARQUE DE LA VAGUADA,EL PILAR,84,FUENCARRAL-EL PARDO,8,"50.462,87","5,05"
141,PARQUE LAS TABLAS V-7,VALVERDE,86,FUENCARRAL-EL PARDO,8,"55.934,94","5,59"
142,PARQUE SANTA ANA (ZONA FORESTAL),VALVERDE,86,FUENCARRAL-EL PARDO,8,"42.226,44","4,22"
143,LAS ISLAS,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"20.663,27","2,07"
144,VALDEMARIN OESTE,VALDEMARIN,95,MONCLOA-ARAVACA,9,"25.242,66","2,52"
145,CALLE CINCON LAGUNAS,ARAVACA,97,MONCLOA-ARAVACA,9,"23.798,65","2,38"
146,PROLONGACION VALDEMARIN,VALDEMARIN,95,MONCLOA-ARAVACA,9,"22.560,54","2,26"
147,PZA. DE ESPAÃA,ARGUELLES,92,MONCLOA-ARAVACA,9,"22.353,37","2,24"
148,PLANTACION COMPENSATORIA CALLE 30-PARQUE FORESTAL ESTACION DEL BARRIAL,EL PLANTIO,96,MONCLOA-ARAVACA,9,"21.537,12","2,15"
149,MED. VALDEMARIN,VALDEMARIN,95,MONCLOA-ARAVACA,9,"16.965,54","1,70"
150,A.V.C. FASE III,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"13.750,13","1,38"
151,RIBERA DEL MANZANARES - MARGEN DERECHA,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,"14.863,24","1,49"
152,PARQUE JUAN XXIII,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"14.741,02","1,47"
153,PARQUE BLAS DE OTERO,VALDEZARZA,94,MONCLOA-ARAVACA,9,"14.638,06","1,46"
154,Parque Luisa CarnÃ©s,VALDEZARZA,94,MONCLOA-ARAVACA,9,"14.351,97","1,44"
155,LA HORCA,ARAVACA,97,MONCLOA-ARAVACA,9,"13.615,02","1,36"
156,JARDINES ESCUADRON POLICIA MUNICIPAL,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"13.539,87","1,35"
157,PARQUE DE FRANCOS RDGUEZ.,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,"26.406,83","2,64"
158,ROSAS DE ARAVACA,ARAVACA,97,MONCLOA-ARAVACA,9,"16.502,78","1,65"
