id_centro_edu,centro_edu,tipo_edu,Pub_Priv,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,latitud,longitud
1342,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,AVENIDA                  ALFONSO XIII                                      ,165,442384.6,4479053.5,40.460153365431644,-3.679552793547444
1343,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    PRINCIPE DE VERGARA                               ,217,442527.6,4478184.5,40.45233491765567,-3.677787599962625
1344,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,CALLE                    ORURO                                             ,4,442382.6,4478495.5,40.45512650982567,-3.679525733307031
1345,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    CLARA DEL REY                                     ,46,443332.6,4477365.5,40.44501223812018,-3.668221553992018
1346,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    CONSTANCIA                                        ,1,442810.6,4476924.5,40.44100375280817,-3.6743368696694603
1347,ESCUELAS INFANTILES DE PRIMER CICLO,INFANTIL,PRIVADO,HISPANOAMERICA      ,4,CHAMARTIN           ,5,AVENIDA                  ALBERTO ALCOCER                                   ,24,441962.6,4478824.5,40.458061065164436,-3.684508856329658
1348,ESCUELAS INFANTILES DE SEGUNDO CICLO,INFANTIL,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,AVENIDA                  ALFONSO XIII                                      ,165,442384.6,4479053.5,40.460153365431644,-3.679552793547444
1349,AUTOESCUELA,AUTOESCUELA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,PASEO                    CASTELLANA                                        ,210,441605.6,4479402.5,40.46324292920666,-3.6887723022481294
1350,"CENTRO PRIV.CONCERTADO DE PRIMARIA, SECUND., BACHILL. Y/O FP","PRIMARIA, SECUNDARIA, BACH, FP",CONCERTADO,CASTILLA            ,6,CHAMARTIN           ,5,PLAZA                    DUQUE DE PASTRANA                                 ,5,442527.6,4480028.5,40.46894650263743,-3.6779545780910405
1351,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,INFANTIL Y PRIMARIA,PUBLICO,PROSPERIDAD         ,2,CHAMARTIN           ,5,CALLE                    JUAN BAUTISTA DE TOLEDO                           ,5,442842.6,4477219.5,40.4436634569132,-3.6739861152350586
1352,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    PADRE DAMIAN                                      ,29,441855.6,4479028.5,40.45989130714678,-3.6857894447454598
1353,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,EL VISO             ,1,CHAMARTIN           ,5,CALLE                    GUTIERREZ SOLANA                                  ,3,441658.6,4478015.5,40.450751948605514,-3.6880197291773458
1354,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,CALLE                    PADRE DAMIAN                                      ,37,441856.6,4479111.5,40.46063907742925,-3.6857852543828837
1355,"ENSENANZA NO REGLADA (DEPORTIVA Y RECREATIVA, CULTURAL, CLASES DE RECUPERACION, INFORMATICA)",NO REGLADA,PRIVADO,NUEVA ESPAÃÂA        ,5,CHAMARTIN           ,5,PASEO                    FRAY BERNARDINO SAHAGUN                           ,15,442262.6,4479165.5,40.46115384336721,-3.681001831660434
