id_teatro,nombre_teatro,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
80,Teatro Amaya,ALMAGRO,4.0,CHAMBERI,7.0,PASEO GENERAL MARTINEZ CAMPOS,9.0,28010,440868,4476288,40.43513498732234,-3.697193610846834
81,Teatros Luchana,TRAFALGAR,3.0,CHAMBERI,7.0,CALLE LUCHANA,38.0,28010,440780,4475934,40.43193980366074,-3.698186306223295
82,Teatro de la Abadía,ARAPILES,2.0,CHAMBERI,7.0,CALLE FERNANDEZ DE LOS RIOS,42.0,28015,439848,4476306,40.43522406333126,-3.709208726699302
83,Teatro Auditorio Casa de Campo,CASA DE CAMPO,1.0,MONCLOA-ARAVACA,9.0,AVENIDA PRINCIPAL,9.0,28011,437121,4473927,40.41359310144815,-3.7411161249274913
84,Gran Teatro CaixaBank  Príncipe Pío,CASA DE CAMPO,1.0,MONCLOA-ARAVACA,9.0,CUESTA SAN VICENTE,44.0,28008,438998,4474671,40.420433378754346,-3.7190728318719177
85,Réplika Teatro,CIUDAD UNIVERSITARIA,3.0,MONCLOA-ARAVACA,9.0,CALLE EXPLANADA,14.0,28040,439637,4477750,40.44821880668578,-3.71182467763582
86,Tablao flamenco Las Tablas,ARGUELLES,2.0,MONCLOA-ARAVACA,9.0,PLAZA ESPAÑA,9.0,28008,439458,4474840,40.42198032023045,-3.713678674361515
87,Teatro Sanpol,CASA DE CAMPO,1.0,MONCLOA-ARAVACA,9.0,CALLE SAN POL DE MAR,1.0,28008,438363,4475066,40.4239449097705,-3.7265957347882095
88,Espacio Gallinero,ALUCHE,4.0,LATINA,10.0,CALLE LUIS FEITO,24.0,28047,436794,4471519,40.39188020285107,-3.7447341234745273
89,Teatro Tarambana,VISTA ALEGRE,4.0,CARABANCHEL,11.0,CALLE DOLORES ARMENGOT,31.0,28025,437027,4471052,40.38580301942374,-3.743221818312581
90,Teatro. Arte &amp; Desmayo,COMILLAS,1.0,CARABANCHEL,11.0,CALLE BALEARES,14.0,28019,439442,4471824,40.394818706807854,-3.71356856135422
91,Teatro Centro del Actor,VISTA ALEGRE,4.0,CARABANCHEL,11.0,CALLE DOLORES ARMENGOT,22.0,28025,436934,4470851,40.38586748767665,-3.743020950442359
92,Sala Teatro Exlímite,PRADOLONGO,7.0,USERA,12.0,CALLE PRIMITIVA GAÑAN,5.0,28026,439817,4470244,40.38061717586449,-3.708997656919992
93,Tablao Flamenco La Estación de los Porches,ENTREVIAS,1.0,PUENTE DE VALLECAS,13.0,CALLE TIMOTEO PEREZ RUBIO,2.0,28053,442946,4471043,40.38803470360229,-3.672208524314873
94,Café Teatro Serendipia,QUINTANA,3.0,CIUDAD LINEAL,15.0,CALLE GERMAN PEREZ CARRASCO,21.0,28027,445222,4476261,40.43519000006975,-3.645847906504054
95,Teatro Municipal de Vallecas,CASCO H.VALLECAS,1.0,VILLA DE VALLECAS,18.0,CALLE PASO DE VILLAMANRIQUE,3.0,28031,447122,4469857,40.37762362093048,-3.622909577478477
