id_teatro,nombre_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
60,Teatro La Sala,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE PALOS DE LA FRONTERA,3.0,28012,440686,4472732,40.40309417359402,-3.6989842711202656
61,Teatro La Encina,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,15.0,28005,440362,4472716,40.40292067588232,-3.7028123300797953
62,Teatro Sala Cuarta Pared,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,17.0,28005,440371,4472701,40.402777112937486,-3.702716560812772
63,Sojo Laboratorio Teatral.,ACACIAS,22,ARGANZUELA,2,CALLE SAN ISIDORO DE SEVILLA,2.0,28005,439569,4472902,40.40454329855034,-3.712165150683624
64,Teatro Estudio 2 Manuel Galiana,ACACIAS,22,ARGANZUELA,2,CALLE MORATINES,11.0,28005,440374,4472749,40.40321881564558,-3.702674015748743
65,Tablao Flamenco CafÃ© Ziryab,ACACIAS,22,ARGANZUELA,2,PASEO ESPERANZA,17.0,28005,440164,4472643,40.4022488504113,-3.705138659259797
66,Teatro Circo Price,PALOS DE MOGUER,26,ARGANZUELA,2,RONDA ATOCHA,35.0,28012,440723,4473051,40.40596423138839,-3.698601359753866
67,Teatro. BululÃº 2120,PALOS DE MOGUER,26,ARGANZUELA,2,CALLE CANARIAS,16.0,28045,440896,4472605,40.40195873806236,-3.696521252638884
68,Teatro. Artespacio Plot Point,ACACIAS,22,ARGANZUELA,2,CALLE ERCILLA,29.0,28005,440426,4472606,40.40192531437177,-3.7020477784084793
69,Teatro Corral de Cervantes,CHOPERA,23,ARGANZUELA,2,PASEO CHOPERA,10.0,28045,440676,4471620,40.39307289237465,-3.699005654074825
70,Teatro Municipal de TÃ­teres. Parque de El Retiro,LOS JERÃNIMOS,35,RETIRO,3,AVENIDA MÃXICO,4.0,28009,441748,4474466,40.41878362561595,-3.6866519471003647
71,FernÃ¡n GÃ³mez Centro Cultural de la Villa,RECOLETOS,41,SALAMANCA,4,PLAZA COLON,4.0,28001,441476,4475151,40.42492634761077,-3.689920851966343
72,Nuevo Teatro AlcalÃ¡,GOYA,42,SALAMANCA,4,CALLE JORGE JUAN,62.0,28009,442464,4474973,40.42340075550414,-3.678258596986864
73,Teatro TribueÃ±e,FUENTE DEL BERRO,43,SALAMANCA,4,CALLE SANCHO DAVILA,31.0,28028,443879,4475204,40.425569368259886,-3.661599639903205
74,Tablao Flamenco Corral de la Pacheca,GUINDALERA,44,SALAMANCA,4,CALLE ALCALA,237.0,28028,443775,4475871,40.431581087036655,-3.662863216771023
75,Teatro Pradillo,CIUDAD JARDÃN,53,CHAMARTIN,5,CALLE PRADILLO,12.0,28002,442785,4477765,40.44856560554628,-3.6747261219408607
76,Teatro Multiespacio La Strada,ARAPILES,72,CHAMBERI,7,CALLE MAGALLANES,23.0,28015,440141,4476318,40.435354235764464,-3.705754037741118
77,Teatros del Canal,ARAPILES,72,CHAMBERI,7,CALLE CEA BERMUDEZ,1.0,28003,440203,4476672,40.43854675141601,-3.705057921443053
78,Teatro Quique San Francisco,ARAPILES,72,CHAMBERI,7,CALLE GALILEO,39.0,28015,439741,4476139,40.43371190964793,-3.710454359795776
79,Sala Arapiles 16,ARAPILES,72,CHAMBERI,7,CALLE ARAPILES,16.0,28015,439935,4476072,40.43312718155775,-3.708159572592643
80,Teatro Amaya,ALMAGRO,74,CHAMBERI,7,PASEO GENERAL MARTINEZ CAMPOS,9.0,28010,440868,4476288,40.43513498732234,-3.697193610846834
81,Teatros Luchana,TRAFALGAR,73,CHAMBERI,7,CALLE LUCHANA,38.0,28010,440780,4475934,40.43193980366074,-3.698186306223295
82,Teatro de la AbadÃ­a,ARAPILES,72,CHAMBERI,7,CALLE FERNANDEZ DE LOS RIOS,42.0,28015,439848,4476306,40.43522406333126,-3.709208726699302
83,Teatro Auditorio Casa de Campo,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,AVENIDA PRINCIPAL,9.0,28011,437121,4473927,40.41359310144815,-3.7411161249274913
84,Gran Teatro CaixaBank  PrÃ­ncipe PÃ­o,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CUESTA SAN VICENTE,44.0,28008,438998,4474671,40.420433378754346,-3.7190728318719177
85,RÃ©plika Teatro,CIUDAD UNIVERSITARIA,93,MONCLOA-ARAVACA,9,CALLE EXPLANADA,14.0,28040,439637,4477750,40.44821880668578,-3.71182467763582
86,Tablao flamenco Las Tablas,ARGUELLES,92,MONCLOA-ARAVACA,9,PLAZA ESPAÃA,9.0,28008,439458,4474840,40.42198032023045,-3.713678674361515
87,Teatro Sanpol,CASA DE CAMPO,91,MONCLOA-ARAVACA,9,CALLE SAN POL DE MAR,1.0,28008,438363,4475066,40.4239449097705,-3.7265957347882095
88,Espacio Gallinero,ALUCHE,104,LATINA,10,CALLE LUIS FEITO,24.0,28047,436794,4471519,40.39188020285107,-3.7447341234745273
89,Teatro Tarambana,VISTA ALEGRE,114,CARABANCHEL,11,CALLE DOLORES ARMENGOT,31.0,28025,437027,4471052,40.38580301942374,-3.743221818312581
90,Teatro. Arte &amp; Desmayo,COMILLAS,111,CARABANCHEL,11,CALLE BALEARES,14.0,28019,439442,4471824,40.394818706807854,-3.71356856135422
91,Teatro Centro del Actor,VISTA ALEGRE,114,CARABANCHEL,11,CALLE DOLORES ARMENGOT,22.0,28025,436934,4470851,40.38586748767665,-3.743020950442359
92,Sala Teatro ExlÃ­mite,PRADOLONGO,127,USERA,12,CALLE PRIMITIVA GAÃAN,5.0,28026,439817,4470244,40.38061717586449,-3.708997656919992
93,Tablao Flamenco La EstaciÃ³n de los Porches,ENTREVIAS,131,PUENTE DE VALLECAS,13,CALLE TIMOTEO PEREZ RUBIO,2.0,28053,442946,4471043,40.38803470360229,-3.672208524314873
94,CafÃ© Teatro Serendipia,QUINTANA,153,CIUDAD LINEAL,15,CALLE GERMAN PEREZ CARRASCO,21.0,28027,445222,4476261,40.43519000006975,-3.645847906504054
95,Teatro Municipal de Vallecas,CASCO H.VALLECAS,181,VILLA DE VALLECAS,18,CALLE PASO DE VILLAMANRIQUE,3.0,28031,447122,4469857,40.37762362093048,-3.622909577478477
