nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Principe de Vergara,L2/L9,GOYA,2,SALAMANCA,4,9,"-3,679,847,745.00","404,230,892.00",8.324.742
Principe Pio,L10/L6,CASA DE CAMPO,1,CENTRO,9,23,"-371,940,932.00","404,215,879.00",32.191.729
Prosperidad,L4,PROSPERIDAD,2,CHAMARTIN,5,12,"-367,494,475.00","4,044,420,516.00",2.743.690
Pueblo Nuevo,L5/L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,26,"-3,642,845,864.00","404,356,791.00",9.317.967
Puente de Vallecas,L1,SAN DIEGO,2,PUENTE DE VALLECAS,13,22,"-3,668,939,103.00","4,039,853,123.00",6.114.428
Puerta de Arganda,L9,VALDERRIVAS,3,VICALVARO,19,24,"-3,577,580,403.00","4,038,825,191.00",5.863.526
Puerta de Toledo,L5,ACACIAS,2,ARGANZUELA,2,13,"-3,710,904,136.00","4,040,676,771.00",2.404.201
Puerta del Angel,L6,PUERTA DEL ANGEL,2,LATINA,10,4,"-3,727,219,913.00","4,041,408,471.00",4.599.412
Quevedo,L2,ARAPILES,2,CHAMBERI,7,18,"-370,427,291.00","4,043,314,889.00",3.689.722
Quintana,L5,QUINTANA,3,CIUDAD LINEAL,15,25,"-3,647,229,222.00","4,043,358,855.00",3.614.161
Republica Argentina,L6,EL VISO,1,CHAMARTIN,5,13,"-3,683,914,164.00","404,437,072.00",1.988.646
Retiro,L2,LOS JERONIMOS,5,RETIRO,3,10,"-3,685,877,351.00","4,042,073,689.00",3.612.177
Rios Rosas,L1,RIOS ROSAS,5,CHAMBERI,7,10,"-3,701,531,695.00","4,044,135,635.00",2.959.853
Ronda de la Comunicacion,L10,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,8,"-366,284,914.00","4,051,567,934.00",445.968
Ruben Dario,L5,ALMAGRO,4,CHAMBERI,7,20,"-3,689,119,115.00","4,043,315,269.00",2.686.763
Sainz de Baranda,L6/L9,ESTRELLA,3,RETIRO,3,18,"-3,669,791,679.00","404,147,404.00",9.768.952
San Bernardo,L2/L4,ARAPILES,2,CHAMBERI,7,17,"-3,706,032,439.00","4,042,986,592.00",4.354.814
San Blas,L7,HELLIN,2,SAN BLAS - CANILLEJAS,20,22,"-361,569,126.00","4,042,792,782.00",2.030.506
San Cipriano,L9,CASCO HISTORICO DE VICALVARO,1,VICALVARO,19,23,"-3,603,701,183.00","4,040,388,349.00",1.171.851
San Cristobal,L3,SAN CRISTOBAL,2,VILLAVERDE,17,17,"-3,692,796,277.00","4,034,142,482.00",2.662.348
San Fermin-Orcasur,L3,ORCASUR,2,USERA,12,14,"-3,694,383,531.00","403,697,615.00",3.514.558
San Francisco,L11,BUENAVISTA,6,CARAMBACHEL,11,4,"-3,739,701,628.00","4,037,374,797.00",1.593.949
San Lorenzo,L4,PINAR DEL REY,4,HORTALEZA,16,19,"-3,639,426,829.00","4,047,444,909.00",1.813.279
Santiago Bernabeu,L10,EL VISO,1,CHAMARTIN,5,17,"-3,690,702,584.00","4,045,216,092.00",4.784.869
Santo Domingo,L2,UNIVERSIDAD,5,CENTRO,1,15,"-3,707,899,257.00","4,042,144,524.00",1.957.718
Serrano,L4,RECOLETOS,1,SALAMANCA,4,6,"-3,686,606,943.00","4,042,541,243.00",3.148.887
Sevilla,L2,CORTES,3,CENTRO,1,12,"-3,699,403,086.00","404,178,944.00",1.661.555
Sierra de Guadalupe,L1,CASCO HISTORICO DE VALLECAS,1,VILLA DE VALLECAS,18,28,"-3,625,030,273.00","4,038,255,355.00",3.784.554
Simancas,L7,SIMANCAS,1,SAN BLAS - CANILLEJAS,20,21,"-3,625,826,833.00","4,042,790,804.00",3.109.979
Sol,L1/L2/L3,SOL,6,CENTRO,1,15,"-3,702,793,213.00","4,041,686,834.00",49.567.085
Suanzes,L5,EL SALVADOR,8,SAN BLAS - CANILLEJAS,20,28,"-3,627,124,503.00","4,044,090,339.00",2.467.319
Tetuan,L1,CASTILLEJOS,3,TETUAN,6,6,"-3,697,831,412.00","4,046,120,085.00",5.039.721
