id_alojamiento,tipo_alojamiento,restaurante,barrio,id_barrio,distrito,id_distrito,direccion,num,coordenada_x,coordenada_y,restaurante,geometry
58,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    ARENAL                                            ,15,439988.6,4474323.5,SI,POINT (-3.70736400069877 40.41737391038752)
59,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,PLAZA                    ISABEL II                                         ,7,439854.6,4474431.5,SI,POINT (-3.708953578179158 40.41833715029708)
60,CASA DE HUESPEDES,NO,PALACIO             ,1,CENTRO              ,1,CALLE                    ALAMILLO                                          ,8,439547.6,4473929.5,NO,POINT (-3.7125243159159305 40.41379266086639)
61,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,CORTES              ,3,CENTRO              ,1,CALLE                    PRINCIPE                                          ,11,440589.6,4474138.5,NO,POINT (-3.700263142815546 40.41575046385091)
62,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    MINAS                                             ,5,440099.6,4475122.5,NO,POINT (-3.706130978019943 40.42457966688494)
63,APART-HOTEL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    CRUZ                                              ,35,440387.6,4474040.5,NO,POINT (-3.702634739054123 40.414853188946736)
64,APART-HOTEL,NO,PALACIO             ,1,CENTRO              ,1,PLAZA                    ESPAÃA                                            ,7,439586.6,4474889.5,NO,POINT (-3.7121558584336145 40.422443607235614)
65,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CUESTA                   SANTO DOMINGO                                     ,2,439754.6,4474492.5,SI,POINT (-3.7101380032122044 40.41887943262189)
66,VIVIENDA TURISTICA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    OSO                                               ,3,440227.6,4473480.5,NO,POINT (-3.70446786854956 40.40979696656393)
67,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    RODAS                                             ,18,440083.6,4473306.5,NO,POINT (-3.7061485236308753 40.40821913891312)
69,HOTEL,SI,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN BERNARDO                                      ,48,439997.6,4475159.5,SI,POINT (-3.7073368014848618 40.42490562974087)
70,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,JUSTICIA            ,4,CENTRO              ,1,CALLE                    ALMIRANTE                                         ,17,441161.62,4474889.5,NO,POINT (-3.693590759849719 40.422556474718974)
71,ALBERGUES JUVENILES Y OTROS ALOJAMIENTOS TURISTICOS DE CORTA ESTANCIA,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    LAVAPIES                                          ,26,440372.6,4473586.5,NO,POINT (-3.702768977300166 40.41076226488048)
72,HOTEL,SI,JUSTICIA            ,4,CENTRO              ,1,CALLE                    MEJIA LEQUERICA                                   ,8,440768.6,4475368.5,SI,POINT (-3.698268002143409 40.42684364644786)
73,CASA DE HUESPEDES,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    LAVAPIES                                          ,21,440388.6,4473562.5,NO,POINT (-3.702578166137779 40.41054720726802)
74,HOTEL,SI,PALACIO             ,1,CENTRO              ,1,CALLE                    LEGANITOS                                         ,41,439694.6,4474905.5,SI,POINT (-3.710884359979555 40.42259557698298)
75,HOSTAL,NO,EMBAJADORES         ,2,CENTRO              ,1,CALLE                    ESPERANZA                                         ,4,440564.6,4473517.5,NO,POINT (-3.700499779264825 40.41015441070674)
76,HOTEL,SI,SOL                 ,6,CENTRO              ,1,CALLE                    MAESTRO VICTORIA                                  ,5,440158.6,4474441.5,SI,POINT (-3.7053714294114752 40.41844915096)
77,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    SAN SEBASTIAN                                     ,2,440466.6,4473929.5,SI,POINT (-3.701693266758127 40.41385890246115)
78,HOSTAL,NO,UNIVERSIDAD         ,5,CENTRO              ,1,CALLE                    SAN LEONARDO                                      ,6,439702.6,4475165.5,NO,POINT (-3.7108147174371315 40.42493835285074)
79,HOSTAL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    VENTURA DE LA VEGA                                ,17,440705.6,4474079.5,NO,POINT (-3.698890462039955 40.415227235971436)
80,HOTEL,SI,CORTES              ,3,CENTRO              ,1,CALLE                    PRADO                                             ,11,440695.6,4474037.5,SI,POINT (-3.6990044061359906 40.414848167181745)
81,HOTEL,NO,CORTES              ,3,CENTRO              ,1,CALLE                    ECHEGARAY                                         ,1,440649.6,4474200.5,NO,POINT (-3.699561764877622 40.41631327057673)
