nombre_equip,tipo_equip,id_equip,barrio,id_barrio,distrito,id_distrito,direccion,num,CP,coordenada_x,coordenada_y,latitud,longitud
Teatro Lara,,59,UNIVERSIDAD,15,CENTRO,1,CALLE CORREDERA BAJA DE SAN PABLO,15.0,28004,440241,4474845,40.42208196713365,-3.704449834829029
Teatro la Latina,,60,PALACIO,11,CENTRO,1,PLAZA CEBADA,2.0,28005,439863,4473661,40.411397795053,-3.708781739576842
Teatro de la Zarzuela,,61,CORTES,13,CENTRO,1,CALLE JOVELLANOS,4.0,28014,440879,4474296,40.4171909688133,-3.69686690418468
Teatro Calderi³n,,62,EMBAJADORES,12,CENTRO,1,CALLE ATOCHA,18.0,28012,440325,4473942,40.41396242769233,-3.703363300804268
Teatro Capitol Gran Vi­a,,63,PALACIO,11,CENTRO,1,CALLE GRAN VIA,41.0,28013,440057,4474664,40.42044662928379,-3.706582132732834
Teatro Cofidis Alci¡zar,,64,CORTES,13,CENTRO,1,CALLE ALCALA,20.0,28014,440694,4474365,40.41780142775861,-3.699048171807146
Teatro Coliseum,,65,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,78.0,28013,440304,4474849,40.422131603573256,-3.7036959273154326
Teseo Teatro,,66,PALACIO,11,CENTRO,1,RONDA SEGOVIA,61.0,28005,439256,4473343,40.40848902977015,-3.7159050283874873
Teatro de la Escuela,,67,UNIVERSIDAD,15,CENTRO,1,CALLE PALMA,18.0,28004,440361,4475309,40.42628172562985,-3.703059098855893
Teatro de las Aguas,,68,UNIVERSIDAD,15,CENTRO,1,CALLE DE LAS AGUAS,8.0,28005,440304,4474849,40.422131603573256,-3.7036959273154326
Teatro La Corseteri­a - NTF,,69,EMBAJADORES,12,CENTRO,1,CALLE CABEZA,8.0,28012,440313,4473696,40.411745481650485,-3.703481650678806
Teatro del Barrio,,70,EMBAJADORES,12,CENTRO,1,CALLE ZURITA,20.0,28012,440681,4473464,40.409681819217646,-3.699123015201178
Teatro EDP Gran Vi­a,,71,UNIVERSIDAD,15,CENTRO,1,CALLE GRAN VIA,66.0,28013,439859,4474883,40.42240577324947,-3.708956206688234
