NMT;anio;mes;dia;tipo;LAEQ;DIRECCION;X (ETRS89);Y (ETRS89)
28;2021;1;1;E;64.8;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
28;2021;1;1;N;62.9;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
28;2021;1;1;T;64.5;Cuatro Vientos Esquina de la Avenida de la Aviación con Calle Navalmoral de la Mata;433969;4469692
29;2021;1;1;D;57.2;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
29;2021;1;1;E;59;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
29;2021;1;1;N;51.8;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
29;2021;1;1;T;56.5;El Pardo Parque del Concejal Miguel Martín Vela;434382;4485549
30;2021;1;1;D;56.9;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
30;2021;1;1;E;57.3;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
30;2021;1;1;N;57.7;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
30;2021;1;1;T;57.2;Campo de las Naciones Frente al nº 27 de la Calle Ribera del Sena;447744;4479078
31;2021;1;1;D;59.3;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
31;2021;1;1;E;59.6;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
31;2021;1;1;N;63.1;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
31;2021;1;1;T;61;Sanchinarro Junto al nº 14 de la Calle María Tudor;444027;4482821
47;2021;1;1;D;53;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
47;2021;1;1;E;51.1;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
47;2021;1;1;N;59.4;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
47;2021;1;1;T;56.1;Méndez Álvaro Frente al nº 13 de la Calle Juan de Mariana;441715;4472170
48;2021;1;1;D;57.5;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
48;2021;1;1;E;58.1;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
48;2021;1;1;N;57.9;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
48;2021;1;1;T;57.8;Castellana Jardín de Las Bellas Artes, a la altura del nº2 de la Calle José Gutierrez Abascal;441450;4476811
54;2021;1;1;D;58.4;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
54;2021;1;1;E;59;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
54;2021;1;1;N;68.1;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
54;2021;1;1;T;64.2;Ensanche de Vallecas Esquina entre la Avenida de la Gavia y la Avenida de las Suertes;448033;4469339
