id_estacion,nombre_estacion,barrio,id_barrio,distrito,id_distrito,orden_paradas,trafico,longitud,latitud
169,Sierra de Guadalupe,CASCO HISTORICO DE VALLECAS,181,VILLA DE VALLECAS,18,28,3.784.554,40.382,-3.625
170,Villa de Vallecas,CASCO HISTORICO VALLECAS,181,VILLA DE VALLECAS,18,29,2.809.186,40.379,-3.62
171,La Gavia,ENSANCHE VALLECAS,183,VILLA DE VALLECAS,18,31,1.562.859,40.369,-3.612
172,Valdecarros,ENSANCHE VALLECAS,183,VILLA DE VALLECAS,18,33,1.227.630,40.36,-3.593
173,San Cipriano,CASCO HISTORICO DE VICALVARO,191,VICALVARO,19,23,1.171.851,40.403,-3.603
174,Valdebernardo,VALDEBERNARDO,192,VICALVARO,19,21,2.567.757,40.4,-3.62
175,Vicalvaro,CASCO HISTORICO DE VICALVARO,191,VICALVARO,19,22,2.235.714,40.403,-3.608
176,Puerta de Arganda,VALDERRIVAS,193,VICALVARO,19,24,5.863.526,40.388,-3.57
177,Alsacia,ARCOS,204,SAN BLAS - CANILLEJAS,20,3,2.573.177,40.418,-3.623
178,Las Musas,ROSAS,205,SAN BLAS - CANILLEJAS,20,23,1.699.016,40.432,-3.607
179,Estadio Metropolitano,ROSAS,205,SAN BLAS - CANILLEJAS,20,24,4.300.584,40.433,-3.6
180,Avenida de Guadalajara,ARCOS,204,SAN BLAS - CANILLEJAS,20,2,1.752.368,40.422,-3.611
181,Torre Arias,SIMANCAS,201,SAN BLAS - CANILLEJAS,20,29,2.102.301,40.443,-3.617
182,Suanzes,EL SALVADOR,208,SAN BLAS - CANILLEJAS,20,28,2.467.319,40.4,-3.62
183,Simancas,SIMANCAS,201,SAN BLAS - CANILLEJAS,20,21,3.109.979,40.427,-3.625
184,Canillejas,CANILLEJAS,207,SAN BLAS - CANILLEJAS,20,30,3.113.978,40.449,-3.608
185,Las Rosas,ROSAS,205,SAN BLAS - CANILLEJAS,20,1,1.631.966,40.423,-3.603
186,San Blas,HELLIN,202,SAN BLAS - CANILLEJAS,20,22,2.030.506,40.427,-3.615
187,Barajas,TIMON,214,BARAJAS,21,2,2.592.191,40.475,-3.58
188,Alameda de Osuna,ALAMEDA DE OSUNA,211,BARAJAS,21,32,1.746.651,40.457,-3.58
189,Aeropuerto T4,AEROPUERTO,212,BARAJAS,21,1,1.729.986,40.491,-3.593
190,El capricho,ALAMEDA DE OSUNA,211,BARAJAS,21,31,943.938,40.453,-3.595
191,Aeropuerto T1-T2-T3,AEROPUERTO,212,BARAJAS,21,3,1.498.629,40.468,-3.57
192,Feria de Madrid,CORRALEJOS,215,BARAJAS,21,4,1.908.480,40.463,-3.616
