nombre_estacion,linea,barrio,id_barrio,distrito,id_distrito,orden_paradas,longitud,latitud,trafico
Palos de la Frontera,L3,PALOS DE LA FRONTERA,6,ARGANZUELA,2,9,-3.693,40.402,3.471.551
Pan Bendito,L11,ABRANTES,7,CARAMBACHEL,11,3,-3.734,40.375,845.508
Parque de las Avenidas,L7,GUINDALERA,4,SALAMANCA,4,16,-3.662,40.394,1.823.405
Parque de Santa Maria,L4,PINAR DEL REY,4,HORTALEZA,16,20,-3.645,40.477,1.543.689
Pavones,L9,PAVONES,1,MORATALAZ,14,20,-3.635,40.400,2.736.802
Penagrande,L7,PENAGRANDE,3,FUENCARRAL-EL PARDO,8,5,-3.715,40.475,3.028.773
Pinar de Chamartin,L1/L4,COSTILLARES,9,CIUDAD LINEAL,15,1,-3.667,40.480,6.222.074
Pinar del Rey,L8,CANILLAS,3,HORTALEZA,16,6,-3.648,40.468,2.153.834
Pio XII,L9,NUEVA ESPANA,5,CHAMARTIN,5,8,-3.676,40.462,1.908.982
Piramides,L5,CHOPERA,3,ARGANZUELA,2,11,-3.710,40.401,2.216.934
Pitis,L7,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,1,-3.725,40.495,612.409
Plaza de Castilla,L1/L9/L10,CASTILLA,6,CHAMARTIN,5,4,-3.689,40.466,25.135.236
Plaza de España,Linea 3/L10,ARGUELLES,2,MONCLOA-ARAVACA,9,4,-3.710,40.423,17.006.552
Plaza Eliptica,Linea 6/L11,ABRANTES,7,CARAMBACHEL,11,25,-3.718,40.384,16.365.931
Portazgo,L1,PORTAZGO,5,PUENTE DE VALLECAS,13,24,-3.658,40.392,3.704.812
Principe de Vergara,L2/L9,GOYA,2,SALAMANCA,4,9,-3.679,40.423,8.324.742
Principe Pio,L10/L6,CASA DE CAMPO,1,CENTRO,9,23,-3.719,40.412,32.191.729
Prosperidad,L4,PROSPERIDAD,2,CHAMARTIN,5,12,-3.670,40.444,2.743.690
Pueblo Nuevo,L5/L7,PUEBLO NUEVO,2,CIUDAD LINEAL,15,26,-3.640,40.435,9.317.967
Puente de Vallecas,L1,SAN DIEGO,2,PUENTE DE VALLECAS,13,22,-3.668,40.398,6.114.428
Puerta de Arganda,L9,VALDERRIVAS,3,VICALVARO,19,24,-3.570,40.388,5.863.526
Puerta de Toledo,L5,ACACIAS,2,ARGANZUELA,2,13,-3.710,40.406,2.404.201
Puerta del Angel,L6,PUERTA DEL ANGEL,2,LATINA,10,4,-3.727,40.414,4.599.412
Quevedo,L2,ARAPILES,2,CHAMBERI,7,18,-3.700,40.433,3.689.722
Quintana,L5,QUINTANA,3,CIUDAD LINEAL,15,25,-3.647,40.433,3.614.161
Republica Argentina,L6,EL VISO,1,CHAMARTIN,5,13,-3.000,40.442,1.988.646
Retiro,L2,LOS JERONIMOS,5,RETIRO,3,10,-3.685,40.420,3.612.177
Rios Rosas,L1,RIOS ROSAS,5,CHAMBERI,7,10,-3.701,40.441,2.959.853
Ronda de la Comunicacion,L10,MIRASIERRA,7,FUENCARRAL-EL PARDO,8,8,-3.662,40.515,445.968
Ruben Dario,L5,ALMAGRO,4,CHAMBERI,7,20,-3.589,40.433,2.686.763
Sainz de Baranda,L6/L9,ESTRELLA,3,RETIRO,3,18,-3.669,40.414,9.768.952
San Bernardo,L2/L4,ARAPILES,2,CHAMBERI,7,17,-3.706,40.429,4.354.814
San Blas,L7,HELLIN,2,SAN BLAS - CANILLEJAS,20,22,-3.615,40.427,2.030.506
San Cipriano,L9,CASCO HISTORICO DE VICALVARO,1,VICALVARO,19,23,-3.603,40.403,1.171.851
San Cristobal,L3,SAN CRISTOBAL,2,VILLAVERDE,17,17,-3.692,40.341,2.662.348
San Fermin-Orcasur,L3,ORCASUR,2,USERA,12,14,-3.690,40.369,3.514.558
San Francisco,L11,BUENAVISTA,6,CARAMBACHEL,11,4,-3.739,40.373,1.593.949
San Lorenzo,L4,PINAR DEL REY,4,HORTALEZA,16,19,-3.639,40.474,1.813.279
Santiago Bernabeu,L10,EL VISO,1,CHAMARTIN,5,17,-3.690,40.452,4.784.869
Santo Domingo,L2,UNIVERSIDAD,5,CENTRO,1,15,-3.707,40.412,1.957.718
Serrano,L4,RECOLETOS,1,SALAMANCA,4,6,-3.686,40.425,3.148.887
Sevilla,L2,CORTES,3,CENTRO,1,12,-3.699,40.417,1.661.555
Sierra de Guadalupe,L1,CASCO HISTORICO DE VALLECAS,1,VILLA DE VALLECAS,18,28,-3.625,40.382,3.784.554
Simancas,L7,SIMANCAS,1,SAN BLAS - CANILLEJAS,20,21,-3.625,40.427,3.109.979
Sol,L1/L2/L3,SOL,6,CENTRO,1,15,-3.700,40.416,49.567.085
Suanzes,L5,EL SALVADOR,8,SAN BLAS - CANILLEJAS,20,28,-3.620,40.400,2.467.319
Tetuan,L1,CASTILLEJOS,3,TETUAN,6,6,-3.690,40.461,5.039.721
Tirso de Molina,L1,EMBAJADORES,2,CENTRO,1,16,-3.700,40.412,5.317.945
Torre Arias,L5,SIMANCAS,1,SAN BLAS - CANILLEJAS,20,29,-3.617,40.443,2.102.301
Tres Olivos,L10,VALVERDE,6,FUENCARRAL-EL PARDO,8,11,-3.690,40.500,7.678.416
Tribunal,L1/L10,JUSTICIA,4,CENTRO,1,13,-3.700,40.261,13.521.895
Urgel,L5,SAN ISIDRO,3,CARAMBACHEL,11,9,-3.724,40.393,4.128.094
Usera,L6,MOSCARDO,5,USERA,12,24,-3.700,40.387,7.515.213
Valdeacederas,L1,VALDEACEDERAS,5,TETUAN,6,5,-3.690,40.644,3.877.235
Valdebernardo,L9,VALDEBERNARDO,2,VICALVARO,19,21,-3.620,40.400,2.567.757
Valdecarros,L1,ENSANCHE VALLECAS,3,VILLA DE VALLECAS,18,33,-3.593,40.360,1.227.630
Valdezarza,L7,VALDEZARZA,4,MONCLOA-ARAVACA,9,7,-3.710,40.464,1.851.195
Velazquez,L4,CASTELLANA,6,SALAMANCA,4,7,-3.680,40.425,2.662.973
Ventas,L2/L5,GUINDALERA,4,SALAMANCA,4,6,-3.660,40.431,6.716.718
Ventilla,L9,ALMENARA,4,TETUAN,6,5,-3.695,40.469,1.828.377
Ventura Rodríguez,L3,UNIVERSIDAD,5,CENTRO,1,3,-3.713,40.270,2.143.241
Vicalvaro,L9,CASCO HISTORICO DE VICALVARO,1,VICALVARO,19,22,-3.608,40.403,2.235.714
Vicente Aleixandre,L6,CIUDAD UNIVERSITARIA,3,MONCLOA-ARAVACA,9,9,-3.718,40.446,2.139.036
Villa de Vallecas,L1,CASCO HISTORICO VALLECAS,1,VILLA DE VALLECAS,18,29,-3.620,40.379,2.809.186
Villaverde Alto,L3,VILLAVERDE ALTO,1,VILLAVERDE,17,18,-3.711,40.341,4.325.654
Villaverde Bajo-Cruce,L3,LOS ROSALES,4,VILLAVERDE,17,16,-3.690,40.350,5.896.901
Vinateros,L9,VINATEROS,6,MORATALAZ,14,18,-3.650,40.410,2.577.631
Vista Alegre,L5,VISTA ALEGRE,5,CARAMBACHEL,11,7,-3.730,40.388,3.515.983
